FY,x U L2 U' R' U L2 U' R x',"x [U L2 U', R'] x'"
FZ,x' D' R U' R' D R U R' x,"x' [D', R U' R'] x"
,,
I,Alg,C ABA'B' C'
IA,U' R2 D' R U2 R' D R U' R U,"U' R2 [D', R U2 R'] R2 U"
IB,x' r' F D2 F' r U r' D2 r U' x',"x' U r' [L F' L' F, D2] r U' x"
IC,x' U' R2 U' L2 U R2 U' L2 U2 x,"x' U2 [U R2 U', L2] U2 x"
ID,U r L D2 L' U2 L D2 L' U2 r' U',"U r [L D2 L', U2] r' U'"
IE,R2 F'R2FR U2 R'F'R2F U2 R,"R' [R'F'R2FR, U2] R"
IF,y R U2 R D' R' U2 R D R2 y',"y R2 [R' U2 R, D'] R2 y'"
IW,F U R'F'R2FR U2 R'F'R2FR U F',"F U [R'F'R2FR, U2] U' F'"
IM,x' U' R2 U' L U R2 U' L' U2 x,"x' U' [R2, U' L U] U x"
IN,y' L U2 L D' L' U2 L D L2 y,"y' L [U2, L D' L'] L' y"
IO,y' R2 D R U2 R' D' R U2 R y,"y' R2 [D, R U2 R'] R2 y"
IP,x U2 L' U' R2 U L U' R2 U' x',"x U2 [L', U' R2 U] U2 x'"
IQ,x' R'F'R2FR U2 R'F'R2FR U2 x,"x' [R'F'R2FR, U2] x"
IR,F' U2 R D R' U2 R D' R' F,"F' [U2, R D R'] F"
IS,x'z R' D2 R' U' R D2 R' U R2 z'x,"x'z R' [D2, R'U'R] R z'x"
IT,F D' R2 D F' D' F R2 F' D,"F D' [R2, D F' D' F] D F'"
IX,D B' R2 B D' B' D R2 D' B,"D B' [R2, B D' B' D] B D'"
IY,x U2 L U' R2 U L' U' R2 U' x',"x U2 [L, U' R2 U] U2 x'"
IZ,y R U2 R D2 R' U2 R D2 R2 y',"y R2 [R' U2 R, D2] R2 y'"
,,
N,Alg,C ABA'B' C'
NA,e R' D' R U R' D R D',"D [U', R' D' R] D'"
NB,r L D L' U2 L D' L' U2 r',"r [L D L', U2] r'"
NC,D' L2 U' R' U L2 U' R U D,"D' [L2, U' R' U] D"
ND,y' L D' L' U2 L D L' U2 y,"y' [L D' L', U2] y"
NE,U r U' R2 U L' U' R2 U x' U',"U r [U' R2 U, L'] r' U'"
NF,x' L2 U' R U L2 U' R' U x,"x' [L2, U' R U] x"
NG,R D2 R' U' R D2 R' U,"[R D2 R', U']"
NH,R' U L' U' R U L U',"[R', U L' U']"
NI,y' L2 D' L' U2 L D L' U2 L' y,"y' L [L D' L', U2] L' y"
NO,L D' R2 D L' D' R2 D,"[L, D' R2 D]"
NP,x' U' L2 U' R U L2 U' R' U2 x,"x' U' [L2, U' R U] U x"
NQ,L' U L D L' U' L D',"[L' U L, D]"
NR,R2 U L' U' R2 U L U',"[R2, U L' U']"
NS,B R D2 R' U' R D2 R' U,"B [R D2 R', U'] B'"
NT,L' U L D2 L' U' L D2,"[L' U L, D2]"
NX,r' F D2 F' r U r' D2 r U',"r' F [D2, F' L F L'] F' r"
NY,R U L' U' R' U L U',"[R, U L' U']"
NZ,D R U R' D' R U' R',"[D, R U R']"
,,
Q,Alg,C ABA'B' C'
QA,y' U' R D2 R' U R D2 R' y,"y' [U', R D2 R'] y"
QB,x R' U2 R' D R U2 R' D' R2 x',"x R2 [R U2 R', D] R2 x'"
QC,L2 U' R' U L2 U' R U,"[L2, U' R' U]"
QD,L' D' L U2 L' D L U2,"[L' D' L, U2]"
QE,x' U R2 U' L' U R2 L r,"x' [U R2 U', L'] x"
QF,D x' L2 U' R U L2 U' R' U x D',"D x' [L2, U' R U] x D'"
QG,R D' R' U' R D R' U,"[R D' R', U']"
QH,U' L U R U' L' U R',"[U' L U, R]"
QI,x' U2 R'F'R2FR U2 R'F'R2FR x,"x' [U2, R'F'R2FR] x"
